,0,1
0, ,1193853
1,公司,181734
2,市场,125463
3,亿元,124537
4,发展,110636
5,企业,108358
6,中,91797
7,来源,80605
8,新,79165
9,文章,75779
10,经济,74550
11,增长,73113
12,股份,69948
13,行业,69391
14,投资,67654
15,服务,64867
16,产品,60623
17,科技,53774
18,数据,53440
19,有限公司,53031
20,集团,52606
21,资金,50471
22,业务,50422
23,同比,49575
24,汽车,47277
25,项目,46906
26,显示,46754
27,平台,43925
28,证券,43133
29,创新,42702
30,技术,42332
31,产业,41793
32,持续,40892
33,相关,40651
34,疫情,40180
35,金融,40091
36,全球,39883
37,提升,39343
38,基金,38790
39,元,38723
40,管理,36666
41,机构,35998
42,银行,35522
43,占,35031
44,未来,34887
45,消费,34581
46,提供,34330
47,上市,34280
48,影响,33358
49,超过,32643
50,需求,32519
51,板块,32200
52,风险,32029
53,国际,31965
54,领域,31935
55,合作,31453
56,家,31007
57,国内,30657
58,前,30498
59,发布,30339
60,价格,29954
61,品牌,28921
62,高,28719
63,情况,28467
64,销售,28180
65,国家,27991
66,城市,27915
67,股东,27821
68,推动,27797
69,政策,27792
70,收入,27707
71,信息,27522
72,规模,27489
73,进一步,27487
74,投资者,27235
75,资产,26641
76,资本,26429
77,交易,26162
78,能力,25592
79,发行,25514
80,包括,24779
81,上涨,24413
82,指数,24254
83,上海,23538
84,称,23499
85,上市公司,23436
86,融资,23386
87,监管,22925
88,股,22919
89,支持,22894
90,研发,22891
91,公告,22791
92,增加,22762
93,经营,22474
94,业绩,22440
95,下降,22436
96,计划,22379
97,全国,22155
98,健康,21911
99,预计,21785
100,智能,21785
101,新能源,21224
102,用户,21051
103,控股,20781
104,三季度,20772
105,客户,20585
106,互联网,20544
107,中心,20381
108,方式,20343
109,预期,20022
110,时间,19942
111,报告,19856
112,战略,19764
113,说,19650
114,人民币,18978
115,披露,18965
116,总,18879
117,北京,18873
118,达,18776
119,我国,18742
120,累计,18703
121,活动,18660
122,数字,18581
123,A股,18417
124,点,18386
125,研究,18181
126,模式,18170
127,股权,17940
128,消费者,17935
129,5G,17891
130,比例,17881
131,净利润,17798
132,重点,17399
133,优势,17271
134,核心,17237
135,医疗,17218
136,涨幅,17198
137,提高,17151
138,环境,17086
139,带来,16922
140,整体,16745
141,直播,16691
142,打造,16592
143,金额,16537
144,网络,16235
145,做,16156
146,系统,16095
147,超,16078
148,股价,16048
149,体系,16010
150,社会,15974
151,期间,15963
152,表现,15963
153,水平,15913
154,亿,15790
155,运营,15704
156,指出,15675
157,个股,15657
158,成本,15611
159,实施,15498
160,周期,15392
161,月份,15279
162,新闻,15273
163,第一,15184
164,改革,15175
165,升级,14940
166,资源,14918
167,增速,14838
168,电商,14775
169,净,14741
170,本次,14724
171,持有,14681
172,工业,14665
173,价值,14657
174,文化,14485
175,加快,14470
176,股票,14468
177,估值,14468
178,政府,14361
179,基础,14283
180,规划,14257
181,区域,14123
182,目标,14032
183,调整,14009
184,债券,13995
185,地区,13936
186,创业板,13898
187,疫苗,13822
188,万股,13808
189,近期,13684
190,减持,13671
191,连续,13606
192,亿美元,13527
193,贷款,13472
194,生态,13447
195,大幅,13443
196,智慧,13403
197,空间,13399
198,协议,13305
199,买入,13264
200,生物,13229
201,时代,13182
202,转型,13132
203,推出,13077
204,布局,13062
205,数字化,13060
206,参与,12966
207,减少,12922
208,有望,12845
209,综合,12835
210,世界,12731
211,制造,12708
212,保障,12687
213,深圳,12664
214,控制,12603
215,网,12585
216,内容,12569
217,提出,12551
218,教育,12519
219,联合,12455
220,公开,12447
221,开发,12370
222,广州,12344
223,全,12321
224,数量,12313
225,建议,12280
226,长期,12279
227,复苏,12252
228,低,12245
229,趋势,12222
230,建立,12221
231,完善,12190
232,美元,12184
233,正式,12140
234,电子,12110
235,盈利,12099
236,成立,12030
237,稳定,12028
238,未,11973
239,沪,11945
240,生活,11830
241,产业链,11813
242,万,11795
243,市值,11781
244,合计,11761
245,分析,11734
246,渠道,11678
247,医药,11585
248,部门,11532
249,下跌,11485
250,新冠,11472
251,财经,11466
252,优化,11417
253,云,11404
254,介绍,11387
255,成交,11363
256,机制,11355
257,机会,11309
258,过程,11274
259,制度,11237
260,传统,11216
261,区,11210
262,标准,11035
263,环比,11022
264,近日,10992
265,类,10959
266,报,10873
267,突破,10868
268,设计,10866
269,处于,10831
270,发现,10808
271,支付,10800
272,收益,10705
273,持股,10556
274,质量,10517
275,旅游,10510
276,快速,10499
277,京东,10487
278,作用,10460
279,此前,10421
280,最新,10412
281,发生,10372
282,变化,10345
283,正,10321
284,因素,10316
285,导致,10281
286,双,10254
287,化,10248
288,措施,10210
289,涨,10207
290,历史,10203
291,第三季度,10176
292,拥有,10143
293,阶段,10141
294,人才,10134
295,专业,10089
296,材料,10089
297,拟,10076
298,物流,10065
299,原因,10065
300,恢复,10030
301,受,9981
302,券商,9958
303,董事长,9933
304,选择,9908
305,地方,9903
306,简称,9898
307,支撑,9890
308,设备,9883
309,今日,9879
310,加大,9870
311,采购,9866
312,较大,9833
313,申请,9792
314,场景,9766
315,房地产,9738
316,组织,9728
317,销量,9704
318,深交所,9657
319,解决,9621
320,收购,9620
321,加速,9562
322,高质量,9533
323,倍,9523
324,利率,9485
325,营收,9484
326,融合,9481
327,海外,9481
328,子公司,9474
329,投入,9472
330,开放,9447
331,营业,9434
332,高端,9373
333,贸易,9311
334,商品,9282
335,负责人,9281
336,非,9231
337,百分点,9229
338,平均,9200
339,重庆,9162
340,地产,9129
341,上半年,9124
342,治理,9117
343,首次,9066
344,短期,9025
345,改善,8952
346,构建,8934
347,压力,8931
348,产能,8930
349,降低,8908
350,方案,8902
351,面临,8891
352,购买,8888
353,能源,8886
354,新增,8862
355,人员,8859
356,吨,8828
357,格局,8815
358,号,8814
359,落地,8713
360,方向,8708
361,体验,8659
362,营销,8647
363,用于,8579
364,明年,8572
365,年度,8568
366,信用,8552
367,配置,8543
368,功能,8530
369,成功,8521
370,旗下,8514
371,代表,8506
372,会议,8499
373,涉及,8488
374,万吨,8481
375,条件,8480
376,带动,8472
377,竞争,8450
378,团队,8446
379,行情,8445
380,助力,8428
381,指,8368
382,农业,8339
383,出口,8336
384,制造业,8330
385,保护,8293
386,量,8269
387,结构,8257
388,利用,8231
389,扶贫,8229
390,视频,8219
391,发挥,8213
392,商业,8206
