,0,1
0, ,1397143
1,公司,210853
2,市场,143958
3,发展,127110
4,亿元,125071
5,企业,120932
6,中,102936
7,经济,86883
8,来源,86581
9,新,85066
10,文章,81884
11,投资,80031
12,股份,76980
13,行业,76494
14,服务,68162
15,有限公司,65232
16,产品,65113
17,科技,62864
18,增长,62674
19,项目,57168
20,资金,54806
21,数据,54198
22,业务,53791
23,集团,51159
24,证券,49382
25,显示,48966
26,创新,46251
27,相关,45894
28,管理,45661
29,基金,45567
30,银行,45272
31,技术,44857
32,持续,44765
33,机构,43892
34,产业,43676
35,平台,42425
36,提升,41909
37,疫情,41897
38,元,41284
39,金融,41045
40,需求,39631
41,全球,39498
42,风险,39074
43,占,38936
44,资本,38316
45,提供,37942
46,上市,37827
47,同比,37411
48,未来,37165
49,汽车,36646
50,影响,36278
51,国家,35173
52,价格,34833
53,消费,34566
54,领域,34386
55,超过,34024
56,政策,33824
57,板块,33219
58,城市,32858
59,国际,32839
60,发布,32818
61,销售,32590
62,情况,32428
63,家,32343
64,国内,32317
65,投资者,32238
66,高,32237
67,信息,32100
68,规模,31942
69,资产,31234
70,股东,31152
71,进一步,31146
72,交易,30734
73,推动,30480
74,能力,29606
75,前,29214
76,合作,28681
77,监管,28315
78,控股,28257
79,公告,28231
80,上海,28206
81,融资,28118
82,包括,28107
83,上涨,27262
84,发行,27185
85,称,26942
86,预计,26576
87,收入,26511
88,我国,26468
89,股权,26337
90,指数,26313
91,品牌,26286
92,增加,25548
93,上市公司,25294
94,支持,25229
95,全国,24892
96,计划,24892
97,股,24693
98,经营,24607
99,研发,24454
100,客户,24021
101,互联网,24020
102,北京,23869
103,时间,22978
104,实施,22757
105,方式,22696
106,下降,22458
107,披露,22447
108,健康,22395
109,中心,22366
110,战略,21945
111,智能,21944
112,研究,21915
113,改革,21766
114,说,21698
115,总,21385
116,预期,21368
117,数字,21188
118,累计,20964
119,A股,20845
120,报告,20789
121,重点,20712
122,比例,20596
123,环境,20527
124,提高,20390
125,用户,20047
126,点,19914
127,人民币,19620
128,业绩,19510
129,模式,19432
130,新能源,19395
131,做,19363
132,疫苗,19208
133,社会,18851
134,核心,18705
135,股价,18613
136,达,18557
137,本次,18508
138,优势,18432
139,体系,18373
140,政府,18241
141,指出,18235
142,水平,18189
143,活动,18174
144,基础,18169
145,股票,18164
146,新闻,18119
147,明年,18103
148,金额,18080
149,涨幅,17834
150,系统,17615
151,整体,17605
152,加快,17564
153,个股,17560
154,运营,17460
155,协议,17171
156,打造,17139
157,目标,17027
158,带来,16935
159,第一,16855
160,持有,16740
161,调整,16663
162,月份,16541
163,创业板,16444
164,净利润,16341
165,连续,16282
166,文化,16258
167,会议,16242
168,消费者,16228
169,退市,16187
170,资源,16132
171,生物,15979
172,价值,15960
173,完善,15906
174,增速,15883
175,控制,15745
176,制度,15732
177,表现,15610
178,提出,15427
179,类,15401
180,万股,15365
181,生态,15358
182,医疗,15353
183,升级,15329
184,保障,15311
185,工业,15291
186,成本,15277
187,期间,15263
188,时代,15258
189,空间,15232
190,周期,15127
191,超,15113
192,未,14916
193,成立,14882
194,估值,14856
195,地区,14765
196,布局,14729
197,教育,14575
198,区域,14551
199,近期,14498
200,数量,14426
201,转型,14406
202,综合,14401
203,机制,14389
204,公开,14338
205,标准,14325
206,净,14157
207,有望,14122
208,网络,14097
209,贷款,14084
210,深圳,14082
211,建立,14068
212,长期,14028
213,子公司,14018
214,参与,14017
215,市值,13941
216,亿,13866
217,稳定,13829
218,开发,13828
219,趋势,13787
220,美元,13735
221,深交所,13730
222,部门,13726
223,支付,13691
224,能源,13655
225,亿美元,13628
226,复苏,13584
227,买入,13530
228,优化,13488
229,电子,13486
230,正式,13457
231,规划,13419
232,生活,13418
233,新冠,13396
234,债券,13343
235,大幅,13321
236,网,13255
237,全,13254
238,收购,13221
239,广州,13164
240,内容,13144
241,社区,13118
242,年度,13097
243,财经,13093
244,推出,13089
245,产业链,13088
246,制造,13040
247,5G,12985
248,近日,12935
249,过程,12928
250,房地产,12816
251,机会,12800
252,低,12722
253,合计,12700
254,联合,12635
255,设计,12622
256,建议,12581
257,持股,12476
258,分析,12444
259,数字化,12417
260,减少,12413
261,作用,12374
262,地方,12352
263,沪,12346
264,突破,12265
265,介绍,12246
266,医药,12204
267,世界,12201
268,人才,12191
269,措施,12190
270,旅游,12179
271,发现,12168
272,智慧,12155
273,传统,12146
274,拟,12106
275,历史,12103
276,导致,12093
277,董事长,11972
278,减持,11940
279,渠道,11893
280,区,11891
281,材料,11872
282,处于,11866
283,快速,11859
284,三季度,11817
285,简称,11795
286,申请,11790
287,券商,11782
288,设备,11729
289,组织,11663
290,新增,11643
291,万,11597
292,下跌,11596
293,ST,11572
294,此前,11533
295,专业,11529
296,阶段,11526
297,产能,11487
298,高质量,11454
299,保护,11437
300,报,11426
301,变化,11414
302,原因,11399
303,治理,11384
304,拥有,11361
305,解决,11350
306,收益,11304
307,选择,11227
308,盈利,11184
309,恢复,11154
310,质量,11089
311,行情,11080
312,发生,11000
313,制造业,10996
314,加大,10928
315,指标,10898
316,非,10878
317,人员,10868
318,因素,10823
319,正,10818
320,构建,10722
321,较大,10686
322,功能,10663
323,重庆,10646
324,成交,10640
325,期货,10624
326,今日,10618
327,受,10607
328,工程,10595
329,规范,10585
330,化,10513
331,农业,10510
332,加速,10492
333,负责人,10491
334,商品,10484
335,利率,10469
336,竞争,10416
337,格局,10391
338,涉及,10317
339,成功,10287
340,支撑,10279
341,转让,10269
342,场景,10269
343,发挥,10268
344,营业,10250
345,商业,10247
346,方案,10234
347,投入,10204
348,购买,10181
349,结构,10178
350,最新,10145
351,号,10133
352,用于,10056
353,涨,10019
354,高端,9987
355,面临,9931
356,信用,9908
357,压力,9880
358,事项,9870
359,港元,9847
360,团队,9822
361,强化,9760
362,直播,9673
363,权益,9644
364,环比,9638
365,云,9633
366,万吨,9631
367,力度,9614
368,交易日,9606
369,特别,9597
370,报道,9570
371,代表,9562
372,首次,9557
373,方向,9538
374,倍,9533
375,最终,9531
376,降低,9493
377,评级,9492
378,条件,9485
379,开放,9472
380,落地,9435
381,配置,9433
382,平均,9427
383,电商,9400
384,短期,9397
385,责任,9395
386,地产,9391
387,年底,9386
388,出口,9363
389,绿色,9339
390,海外,9338
391,执行,9291
392,融合,9275
393,百分点,9273
394,总经理,9230
395,一年,9211
396,增强,9196
397,带动,9196
398,优质,9187
399,改善,9167
400,供给,9166
401,光伏,9143
402,京东,9048
403,人士,9005
404,每日,8997
405,采购,8992
406,利用,8965
407,助力,8954
408,单位,8831
409,应,8806
410,上半年,8800
411,体验,8774
412,指,8759
413,两个,8754
414,主体,8752
415,收盘,8739
