,0,1
0, ,1064192
1,公司,193272
2,亿元,128511
3,市场,124149
4,企业,114420
5,发展,108489
6,中,94277
7,新,82578
8,来源,80375
9,文章,75814
10,投资,71780
11,服务,68915
12,行业,67265
13,股份,66255
14,经济,65566
15,产品,62734
16,增长,62615
17,资金,56599
18,科技,55329
19,数据,55112
20,业务,53877
21,项目,53480
22,有限公司,52725
23,集团,52565
24,产业,47623
25,疫情,46614
26,显示,45624
27,同比,45601
28,基金,45547
29,证券,44907
30,技术,44050
31,管理,41819
32,金融,41477
33,创新,40955
34,元,40482
35,相关,40005
36,平台,38860
37,持续,38836
38,提升,38453
39,机构,38248
40,提供,36537
41,家,35671
42,消费,35501
43,影响,35045
44,占,34950
45,全球,34172
46,银行,33644
47,国际,33328
48,未来,32813
49,投资者,32762
50,超过,32250
51,上市,32080
52,汽车,31767
53,领域,31675
54,需求,31384
55,收入,30818
56,合作,30705
57,情况,30471
58,发布,30362
59,国内,30322
60,风险,29812
61,销售,29675
62,高,29112
63,城市,29065
64,信息,28980
65,进一步,28796
66,交易,28373
67,规模,28244
68,上半年,28171
69,价格,27642
70,发行,27609
71,政策,27469
72,股东,27456
73,资产,27448
74,推动,27329
75,品牌,27034
76,板块,26819
77,国家,26548
78,能力,25794
79,指数,25731
80,资本,25630
81,下降,25331
82,包括,25206
83,活动,24865
84,支持,24397
85,增加,24283
86,研发,24263
87,智能,24256
88,经营,24252
89,前,23834
90,融资,23825
91,北京,23669
92,业绩,23380
93,上海,22992
94,上市公司,22967
95,计划,22905
96,全国,22727
97,上涨,22519
98,客户,22498
99,股,22281
100,公告,22280
101,数字,21608
102,中心,21564
103,净利润,21523
104,监管,21071
105,预计,20793
106,时间,20691
107,方式,20664
108,报告,20613
109,称,20463
110,披露,20437
111,生物,20423
112,战略,20421
113,控股,20327
114,说,20164
115,创业板,20034
116,旅游,19384
117,A股,19351
118,模式,19232
119,重点,19179
120,股权,19157
121,累计,19094
122,健康,18965
123,环境,18425
124,打造,18340
125,我国,18227
126,人民币,18209
127,点,18080
128,互联网,18057
129,实施,17976
130,调整,17951
131,月份,17768
132,预期,17716
133,系统,17530
134,优势,17320
135,整体,17280
136,核心,17257
137,用户,17197
138,做,17185
139,提高,17107
140,股票,17041
141,研究,17031
142,达,16944
143,股价,16889
144,总,16833
145,带来,16677
146,改革,16668
147,金额,16547
148,文化,16403
149,减少,16132
150,估值,16109
151,比例,15951
152,水平,15895
153,加快,15875
154,运营,15835
155,成本,15800
156,工业,15676
157,下跌,15643
158,个股,15641
159,基础,15525
160,医疗,15377
161,政府,15355
162,消费者,15349
163,净,15277
164,贷款,15118
165,涨幅,14961
166,5G,14959
167,资源,14917
168,社会,14889
169,升级,14804
170,本次,14790
171,期间,14753
172,价值,14658
173,第一,14655
174,体系,14610
175,指出,14596
176,亿,14556
177,生态,14553
178,持有,14450
179,综合,14323
180,营业,14296
181,表现,14244
182,协议,14207
183,超,14067
184,地区,13722
185,大幅,13683
186,云,13630
187,参与,13551
188,推出,13509
189,公开,13489
190,连续,13413
191,控制,13402
192,近期,13347
193,转型,13325
194,目标,13311
195,智慧,13236
196,制造,13222
197,券商,13115
198,数字化,13111
199,成立,13045
200,保障,13044
201,网络,13029
202,全,13025
203,空间,12996
204,网,12974
205,未,12948
206,区域,12938
207,建立,12799
208,布局,12775
209,部门,12736
210,成交,12715
211,报,12670
212,支付,12564
213,万股,12561
214,时代,12530
215,长期,12523
216,数量,12450
217,开发,12429
218,介绍,12403
219,低,12340
220,贸易,12326
221,重庆,12295
222,增速,12250
223,美元,12250
224,区,12248
225,正式,12187
226,教育,12174
227,医药,12143
228,标准,12047
229,买入,12041
230,电子,11984
231,提出,11979
232,深圳,11979
233,房地产,11962
234,制度,11960
235,亿美元,11912
236,恢复,11897
237,趋势,11891
238,新闻,11891
239,渠道,11844
240,生活,11811
241,制造业,11783
242,设计,11753
243,新能源,11692
244,利率,11626
245,优化,11547
246,市值,11529
247,合计,11416
248,内容,11394
249,过程,11390
250,收益,11346
251,措施,11336
252,持股,11250
253,加大,11233
254,完善,11183
255,盈利,11178
256,联合,11176
257,处于,11174
258,开放,11146
259,类,11134
260,快速,11080
261,分析,11069
262,稳定,11068
263,产业链,10972
264,近日,10969
265,传统,10886
266,世界,10853
267,组织,10836
268,原因,10794
269,下滑,10788
270,规划,10783
271,受,10753
272,发现,10752
273,万,10708
274,电商,10693
275,较大,10688
276,收购,10664
277,广州,10634
278,拥有,10598
279,拟,10585
280,材料,10567
281,机制,10554
282,投入,10551
